id;nom_partenaire;tel;email
1;Won Incredible;Mauritius;Audra.Rowe10@yahoo.com
2;lime;parse;Daniella46@gmail.com
3;supply-chains;SMS Accounts withdrawal;Nasir17@gmail.com
4;transmit Awesome Tuna;Analyst vortals;Amos36@hotmail.com
5;Intuitive Human;Phased parse;Mylene_Schoen@yahoo.com
6;Generic Oklahoma Intuitive;invoice systematic Bhutan;Filomena.Larkin@yahoo.com
7;Idaho;Antarctica;Tatum.Emmerich24@yahoo.com
8;Fish deposit;Automotive;Taya.Moen@yahoo.com
9;Wooden Data calculating;Bedfordshire;Dillon_Jaskolski@gmail.com
10;interactive Public-key;evolve;Sasha_Nitzsche@yahoo.com
